Año,Mes,Mes_Name,INPC
1969,1,Enero,0.011594842
1969,2,Febrero,0.011636458
1969,3,Marzo,0.011647943
1969,4,Abril,0.011679513
1969,5,Mayo,0.011679513
1969,6,Junio,0.011721134
1969,7,Julio,0.011765624
1969,8,Agosto,0.011778545
1969,9,Septiembre,0.011889051
1969,10,Octubre,0.012013913
1969,11,Noviembre,0.012015348
1969,12,Diciembre,0.012105764
1970,1,Enero,0.012197615
1970,2,Febrero,0.01219618
1970,3,Marzo,0.01223206
1970,4,Abril,0.012247846
1970,5,Mayo,0.012273681
1970,6,Junio,0.012348312
1970,7,Julio,0.012408588
1970,8,Agosto,0.012465993
1970,9,Septiembre,0.012496134
1970,10,Octubre,0.012500439
1970,11,Noviembre,0.012567895
1970,12,Diciembre,0.012674096
1971,1,Enero,0.012798958
1971,2,Febrero,0.012852058
1971,3,Marzo,0.012900854
1971,4,Abril,0.012966875
1971,5,Mayo,0.012994145
1971,6,Junio,0.013052986
1971,7,Julio,0.013042941
1971,8,Agosto,0.013162057
1971,9,Septiembre,0.013205113
1971,10,Octubre,0.013218033
1971,11,Noviembre,0.013239558
1971,12,Diciembre,0.013302709
1972,1,Enero,0.01336155
1972,2,Febrero,0.01340317
1972,3,Marzo,0.013476366
1972,4,Abril,0.013561042
1972,5,Mayo,0.013588308
1972,6,Junio,0.013688769
1972,7,Julio,0.01374044
1972,8,Agosto,0.013830856
1972,9,Septiembre,0.013894001
1972,10,Octubre,0.013904047
1972,11,Noviembre,0.013994463
1972,12,Diciembre,0.014041828
1973,1,Enero,0.014245621
1973,2,Febrero,0.014363307
1973,3,Marzo,0.014489604
1973,4,Abril,0.014719232
1973,5,Mayo,0.014875669
1973,6,Junio,0.014997655
1973,7,Julio,0.015382285
1973,8,Agosto,0.015629139
1973,9,Septiembre,0.016000848
1973,10,Octubre,0.016206081
1973,11,Noviembre,0.016405573
1973,12,Diciembre,0.017042791
1974,1,Enero,0.017652744
1974,2,Febrero,0.018051724
1974,3,Marzo,0.018190941
1974,4,Abril,0.018437789
1974,5,Mayo,0.018582746
1974,6,Junio,0.018766448
1974,7,Julio,0.019037697
1974,8,Agosto,0.019238624
1974,9,Septiembre,0.019456772
1974,10,Octubre,0.019842832
1974,11,Noviembre,0.020393944
1974,12,Diciembre,0.020553251
1975,1,Enero,0.020815889
1975,2,Febrero,0.020930701
1975,3,Marzo,0.021062738
1975,4,Abril,0.0212407
1975,5,Mayo,0.021524868
1975,6,Junio,0.021890838
1975,7,Julio,0.02206593
1975,8,Agosto,0.022256813
1975,9,Septiembre,0.022418985
1975,10,Octubre,0.022533801
1975,11,Noviembre,0.022691673
1975,12,Diciembre,0.022876811
1976,1,Enero,0.023318846
1976,2,Febrero,0.023755142
1976,3,Marzo,0.02398764
1976,4,Abril,0.024155557
1976,5,Mayo,0.024324909
1976,6,Junio,0.0244225
1976,7,Julio,0.024629168
1976,8,Agosto,0.024864536
1976,9,Septiembre,0.025712732
1976,10,Octubre,0.02716083
1976,11,Noviembre,0.028387911
1976,12,Diciembre,0.02909976
1977,1,Enero,0.030026892
1977,2,Febrero,0.030689945
1977,3,Marzo,0.031225267
1977,4,Abril,0.031697443
1977,5,Mayo,0.031975866
1977,6,Junio,0.032367671
1977,7,Julio,0.032733646
1977,8,Agosto,0.033405309
1977,9,Septiembre,0.033998042
1977,10,Octubre,0.03425781
1977,11,Noviembre,0.03463239
1977,12,Diciembre,0.035111741
1978,1,Enero,0.035892481
1978,2,Febrero,0.036407713
1978,3,Marzo,0.036786597
1978,4,Abril,0.037195628
1978,5,Mayo,0.037560162
1978,6,Junio,0.038076829
1978,7,Julio,0.038722662
1978,8,Agosto,0.039108727
1978,9,Septiembre,0.039555068
1978,10,Octubre,0.040034419
1978,11,Noviembre,0.040446314
1978,12,Diciembre,0.040789323
1979,1,Enero,0.042237422
1979,2,Febrero,0.042844504
1979,3,Marzo,0.043425752
1979,4,Abril,0.043814687
1979,5,Mayo,0.044388764
1979,6,Junio,0.04488103
1979,7,Julio,0.045424962
1979,8,Agosto,0.046112416
1979,9,Septiembre,0.046677878
1979,10,Octubre,0.047493063
1979,11,Noviembre,0.048104451
1979,12,Diciembre,0.048955512
1980,1,Enero,0.051342222
1980,2,Febrero,0.052529117
1980,3,Marzo,0.053609811
1980,4,Abril,0.054546983
1980,5,Mayo,0.055436799
1980,6,Junio,0.056536148
1980,7,Julio,0.058114848
1980,8,Agosto,0.059318964
1980,9,Septiembre,0.059977717
1980,10,Octubre,0.060886183
1980,11,Noviembre,0.061942482
1980,12,Diciembre,0.063567108
1981,1,Enero,0.065615114
1981,2,Febrero,0.067226824
1981,3,Marzo,0.068664872
1981,4,Abril,0.070213437
1981,5,Mayo,0.07127547
1981,6,Junio,0.072271488
1981,7,Julio,0.073544494
1981,8,Agosto,0.075060049
1981,9,Septiembre,0.076456481
1981,10,Octubre,0.078152868
1981,11,Noviembre,0.079656937
1981,12,Diciembre,0.081801099
1982,1,Enero,0.085865536
1982,2,Febrero,0.089239654
1982,3,Marzo,0.09249895
1982,4,Abril,0.097512044
1982,5,Mayo,0.102993008
1982,6,Junio,0.107954431
1982,7,Julio,0.113517202
1982,8,Agosto,0.126255879
1982,9,Septiembre,0.1329955
1982,10,Octubre,0.139890117
1982,11,Noviembre,0.146962697
1982,12,Diciembre,0.162656416
1983,1,Enero,0.180355086
1983,2,Febrero,0.190033959
1983,3,Marzo,0.199232046
1983,4,Abril,0.211845861
1983,5,Mayo,0.221033903
1983,6,Junio,0.229403889
1983,7,Julio,0.240746133
1983,8,Agosto,0.250090607
1983,9,Septiembre,0.257787495
1983,10,Octubre,0.266341179
1983,11,Noviembre,0.281983237
1983,12,Diciembre,0.294047381
1984,1,Enero,0.312727718
1984,2,Febrero,0.329232318
1984,3,Marzo,0.343304281
1984,4,Abril,0.35815555
1984,5,Mayo,0.370031686
1984,6,Junio,0.383423376
1984,7,Julio,0.395992706
1984,8,Agosto,0.407248839
1984,9,Septiembre,0.419380438
1984,10,Octubre,0.434033654
1984,11,Noviembre,0.448929413
1984,12,Diciembre,0.467995815
1985,1,Enero,0.502711447
1985,2,Febrero,0.523596222
1985,3,Marzo,0.5438854
1985,4,Abril,0.560621062
1985,5,Mayo,0.573902241
1985,6,Junio,0.588275593
1985,7,Julio,0.608762824
1985,8,Agosto,0.635376852
1985,9,Septiembre,0.660752314
1985,10,Octubre,0.685852223
1985,11,Noviembre,0.717495125
1985,12,Diciembre,0.766340131
1986,1,Enero,0.834092231
1986,2,Febrero,0.871174477
1986,3,Marzo,0.911666717
1986,4,Abril,0.959263111
1986,5,Mayo,1.012570099
1986,6,Junio,1.077566644
1986,7,Julio,1.131332893
1986,8,Agosto,1.221531243
1986,9,Septiembre,1.294811669
1986,10,Octubre,1.368824029
1986,11,Noviembre,1.461304324
1986,12,Diciembre,1.576734626
